Year,Title,Length (m)
1961,String Quartet No. 1 in G,15
1965,Divertimento for Winds,6
1965,Piano Concerto No. 1 in D,33
1966,Eleven Pieces,4
1966,Piano Suite,5
1966,String Quartet No. 2,15
1966,"Trio for violin, Mandolin and Piano",3
1967,Serenade,16
1967,Missa Brevis pro Unitatis Ecclesiæ «ut sint unum»,2
1967,Canonzetta,3
1968,Zwei Gesänge,4
1968,Twelve Variations,4
1968,Three Owen Songs,8
1968,Haiku,4
1970,Sinophony I,11
1971,Cheltrovype,22
1971,"Textmusic, version 1 after a text by C. Barlow",20
1972,Stochroma,0
1972,Sinophony II,25
1973,"variations, after W. Ostermann",10
1973,...until…,20
1973,Fugue on the Name Cage after No. 5 of Six Fugues on the Name Bach Op. 60 by Robert Schumann,2
1973,"Textmusic, version 4 after a text by C. Barlow",3
1973,"Textmusic, version 7 after Psalm 150",3
1973,"Textmusic, version 8 after a text by W. Ostermann",10
1973,Fantasia quasi una sonata con «Mantra» di Stockhausen,20
1974,"Textmusic, version 10 after spoken rhythms of Indian Music",2
1974,Relationships,6
1976,Reidosklopädie? Enzykloskoport? ,64
1977,"Textmusic, version 11 after a text by C. Barlow",6
1979,Çoğluotobüsişletmesi,30
1980,CCU,48
1980,Deutscher Sang,30
1981,1981,8
1983,Tatsachen,32
1983,Xylophony I,10
1983,Vorbeugung,2
1983,Performation,10
1983,Variations,4
1983,In Memoriam SA,6
1983,"variations, after F. Lehar",12
1984,Im Januar am Nil,25
1984,"Textmusic, version 15 after a text by C. Barlow",2
1986,“Spright the Diner” by Nib Wryter,24
1987,documissa ’87,30
1988,Fruitti d’Amore,29
1988,con fuoco alla Giordano,16
1988,The Weather,3
1988,musica alla vostra commodità,9
1988,uccelli ungheresi,4
1989,Orchideæ Ordinariæ or the Twelfth Root of Truth,37
1989,L’Orchidée d’argent,1
1989,Pandora,8
1990,Otodeblu,4
1991,(stopt niet in De Vink),17
1992,Six Fugues on the Name Cage after Six Fugues on the Name Bach Op. 60 by Robert Schumann,10
1992,Talkmaster’s Choice,18
1994,Farting Quietly in Church – Vortrag über Haiku,40
1994,Qu’a lieu d’en bas,9
1994,clair au debut,3
1994,clair de l’une fois,1
1994,clair d’eux même,2
1994,clair triomphalement,3
1995,Amaludus,0
1995,Estudio Siete: A Metamorphosis of Oskar Fischinger’s Study No. 6 as well as a Short Paraphrase of Conlon Nancarrow’s Study No. 6,2
1995,Four Identical Pieces,12
1995,"Helmut, un morceau lourd en forme de poire",3
1995,Des nus descendant une échelle,3
1995,"Elle l’a vue, elle l’a bue, la pomme insatiable",3
1995,Chronique tangentielle 36°52’12”,3
1997,36 Skandierte Gesichtspunkte,7
1998,Les Ciseaux de Tom Johnson,3
1998,Kuri Suti Bekar,16
1999,‘…or a cherish’d bard…’,8
2001,Felle Hymnus Van Verre,2
2001,Jubileum-Fanfare,9
2001,Zero Crossing,41
2002,Le loup en pierre,7
2002,Sachets des Ciseaux Insatiables,9
2004,3:4:5 (Reading nimbly through Ives’ Three-Page Sonata and Schoenberg’s Five Piano Pieces),3
2004,Glockenspiel für Jens,2
2005,Muntschpmäntsch,11
2006,Ludus Ragalis,20
2006,Septima de facto,7
2007,Approximating Pi,74
2008,Four ISIS Studies,5
2008,Für Gimik,2
2008,Eleven Steps in Staying a Kingly Dream,1
2008,Untitled/Oil on Metal,1
2008,Ceci n'est pas une æuvre d'art,1
2008,resonancia flautomática,8
2009,Tischqeistwalzer,1
2010,Pinball Play,9
2010,vinte e cinco anéis,1
2011,Songbird's Hour,60
2012,Für Simon Jonassohn-Stein,5
2012,"Two Fugues on the Name Cage after Fugues #5 and 6 on the Name Bach, Op. 60 by Robert Shumann",6
2013,Für Eleath,2
2013,KQJZ - waveform ambidextrously uncopyrightable,3
2013,Songbird's Hour Octasected,8
2013,Song of Daniel,5
2019,¹³C₂=[ħ],8
2020,Progéthal Percussion for Advanced Beginners,20